City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
256,Hofn,IS,64.2539,-15.2082,41.23,66,31,10.29,scattered clouds
257,Fergus Falls,US,46.283,-96.0776,47.66,95,90,3.0,light rain
258,Abalak,RU,58.1286,68.5944,31.95,91,100,8.79,overcast clouds
259,Saint Anthony,US,45.0205,-93.218,53.92,70,90,1.99,overcast clouds
260,Canyon,US,34.9803,-101.9188,65.01,18,2,21.41,clear sky
261,Luau,AO,-10.7073,22.2247,71.1,68,93,3.33,overcast clouds
262,General Pico,AR,-35.6566,-63.7568,84.83,13,100,9.33,overcast clouds
263,Kilindoni,TZ,-7.9139,39.6668,77.92,81,43,8.28,scattered clouds
264,Pevek,RU,69.7008,170.3133,9.16,90,100,10.78,overcast clouds
265,Luebo,CD,-5.35,21.4167,69.69,98,67,0.51,light rain
266,Izmit,TR,40.7669,29.9169,59.27,100,40,0.0,scattered clouds
267,Antofagasta,CL,-23.65,-70.4,61.88,75,8,6.06,clear sky
268,Dhidhdhoo,MV,6.8833,73.1,80.78,77,99,6.06,overcast clouds
269,Banjar,ID,-8.19,114.9675,78.66,82,44,2.64,scattered clouds
270,Lasa,IT,46.6166,10.7002,41.88,41,1,2.37,clear sky
271,Oranjestad,AW,12.524,-70.027,80.55,83,20,16.11,few clouds
272,Anaconda,US,46.1285,-112.9423,45.59,62,50,12.44,scattered clouds
273,Sheridan,US,44.8333,-106.9173,52.3,45,90,1.99,overcast clouds
274,Ancud,CL,-41.8697,-73.8203,61.43,87,1,7.38,clear sky
275,Te Anau,NZ,-45.4167,167.7167,60.94,66,54,1.32,broken clouds
276,Yantikovo,RU,55.8216,47.9104,41.72,96,100,16.64,overcast clouds
277,Ganzhou,CN,28.8184,115.4327,61.39,69,67,2.19,broken clouds
278,Mayo,US,38.8876,-76.5119,67.98,72,0,1.99,clear sky
279,Beringovskiy,RU,63.05,179.3167,9.14,79,67,14.29,broken clouds
280,Tiznit,MA,29.5833,-9.5,58.96,78,6,1.9,clear sky
281,Robertsport,LR,6.7533,-11.3686,80.38,83,97,9.42,overcast clouds
282,Margate,GB,51.3813,1.3862,58.3,86,88,4.0,overcast clouds
283,Dong Hoi,VN,17.4833,106.6,71.55,95,100,11.16,overcast clouds
284,Palmer,US,42.1584,-72.3287,53.69,83,90,0.0,overcast clouds
285,Turbat,PK,26.0023,63.044,75.58,65,0,2.15,clear sky
286,Inhambane,MZ,-23.865,35.3833,70.77,77,39,12.86,scattered clouds
287,Baruun-Urt,MN,46.6806,113.2792,34.84,44,1,9.64,clear sky
288,Castanos,MX,26.7833,-101.4167,84.34,43,1,13.8,clear sky
289,Mahebourg,MU,-20.4081,57.7,72.25,83,40,3.44,scattered clouds
290,Bayji,IQ,34.9311,43.487,70.05,30,17,5.73,few clouds
291,Chkalovskoye,RU,44.8392,133.0436,41.74,79,97,10.54,moderate rain
292,Iracoubo,GF,5.4802,-53.2011,79.18,86,13,10.2,few clouds
293,Tual,ID,-5.6667,132.75,83.66,77,54,10.56,broken clouds
294,Cabatuan,PH,10.8794,122.486,77.34,90,96,8.99,light rain
295,Sfantu Gheorghe,RO,45.8667,25.7833,33.93,68,10,1.72,clear sky
296,Leh,IN,34.1667,77.5833,22.87,62,1,4.36,clear sky
297,Pemberton,CA,50.3164,-122.8027,49.69,98,100,5.06,overcast clouds
298,Isangel,VU,-19.55,169.2667,84.31,74,100,4.61,overcast clouds
299,Ormara,PK,25.2088,64.6357,76.95,63,0,5.06,clear sky
300,North Platte,US,41.1239,-100.7654,60.69,36,1,11.99,clear sky
301,Russell,US,32.3502,-85.1999,73.0,70,75,0.0,broken clouds
302,Coria,ES,39.9879,-6.5377,53.46,54,0,2.51,clear sky
303,Port Lincoln,AU,-34.7333,135.8667,60.39,84,62,18.23,moderate rain
304,Mama,RU,58.3106,112.8986,28.72,86,64,9.8,broken clouds
305,Port Hueneme,US,34.1478,-119.1951,88.86,38,1,9.22,clear sky
306,Katsuura,JP,35.1333,140.3,61.2,83,98,8.93,overcast clouds
307,Sabha,LY,27.0377,14.4283,71.87,30,55,10.58,broken clouds
308,Nanakuli,US,21.3906,-158.1547,85.95,61,90,6.91,overcast clouds
309,Dzhebariki-Khaya,RU,62.2167,135.8,26.89,98,100,4.18,light snow
310,Tongliao,CN,43.6125,122.2653,41.4,46,0,1.32,clear sky
311,Calvia,ES,39.5657,2.5062,57.92,79,0,4.61,clear sky
312,Lompoc,US,34.6391,-120.4579,84.13,48,1,17.27,clear sky
313,Xuddur,SO,4.1213,43.8894,72.75,83,37,9.44,scattered clouds
314,Chapais,CA,49.7834,-74.8492,38.98,69,100,5.17,overcast clouds
315,Tefe,BR,-3.3542,-64.7114,78.91,83,75,5.75,thunderstorm with light rain
316,Morant Bay,JM,17.8815,-76.4093,83.82,80,51,7.23,broken clouds
317,Doha,QA,25.2867,51.5333,76.98,55,0,2.3,clear sky
318,Tomatlan,MX,19.9333,-105.25,83.95,73,100,10.74,overcast clouds
319,Prachin Buri,TH,14.0833,101.6667,73.62,93,100,3.53,light rain
320,Elliot,ZA,-31.3333,27.85,58.62,82,100,3.38,overcast clouds
321,Pundri,IN,29.75,76.55,64.62,57,0,5.59,clear sky
322,Bobo Dioulasso,BF,11.1771,-4.2979,79.25,83,20,6.91,few clouds
323,Hovd,MN,48.0056,91.6419,36.25,40,100,6.51,overcast clouds
324,Abnub,EG,27.2696,31.1511,71.82,27,0,0.81,clear sky
325,Syasstroy,RU,60.1367,32.5691,42.44,92,100,8.03,heavy intensity rain
326,Kem,RU,64.9555,34.5793,33.1,71,100,11.3,overcast clouds
327,Riviere-Au-Renard,CA,48.9957,-64.3971,44.6,77,53,11.16,broken clouds
328,Finschhafen,PG,-6.6024,147.8681,84.69,68,97,9.08,overcast clouds
329,Cayenne,GF,4.9333,-52.3333,82.09,82,40,3.0,scattered clouds
330,Grenville,GD,12.1167,-61.6167,82.45,80,100,15.57,overcast clouds
331,Ekibastuz,KZ,51.6667,75.3667,29.7,41,16,8.21,few clouds
332,Upernavik,GL,72.7868,-56.1549,21.81,79,68,3.76,broken clouds
333,Tabou,CI,4.423,-7.3528,77.61,87,65,7.02,broken clouds
334,Coahuayana,MX,18.7333,-103.6833,89.08,72,87,4.83,overcast clouds
335,Ordzhonikidze,KZ,52.4411,61.7408,33.66,63,100,17.45,overcast clouds
336,Porto Novo,BJ,6.4965,2.6036,82.22,83,52,5.14,broken clouds
337,Husavik,IS,66.0449,-17.3389,35.51,97,100,2.42,overcast clouds
338,Montepuez,MZ,-13.1256,38.9997,71.62,71,16,5.57,few clouds
339,San Francisco Del Mar,MX,16.2333,-94.65,84.04,78,40,11.95,scattered clouds
340,Gostyn,PL,51.8825,17.0123,53.73,90,57,7.54,broken clouds
341,Kamenka,RU,51.3223,42.7678,35.38,50,15,9.28,few clouds
342,Madimba,TZ,-10.4,40.3333,72.72,94,20,11.5,few clouds
343,Goderich,CA,43.7501,-81.7165,52.12,87,41,8.05,scattered clouds
344,Parvatsar,IN,26.8833,74.7667,67.57,41,0,3.18,clear sky
345,Faanui,PF,-16.4833,-151.75,80.01,77,66,6.26,light rain
346,Ayagoz,KZ,47.9714,80.4392,34.25,93,94,8.23,overcast clouds
